data_status,round_id,group,club_id,club_name,counted,source_match_id,source_date,source_competition_type,source_competition,home_club,away_club,goals_for,goals_against,is_home,yellow_cards,red_cards,base_points,bonus_points,penalty_points,fantasy_total,fantasy_explanation,source_url,notes
loaded,GS-F2,H,pe-los-chankas,Los Chankas,true,GS-F2-pe-los-chankas-2026-04-27,2026-04-27,local-league,Liga 1 · F12,ADT,Los Chankas,0,4,false,1,0,0.0,0.0,-1.25,-1.25,"base=0(der) der3=-1 1A=-0,25 total=-1,25",,
loaded,GS-F2,H,cl-deportes-limache,Deportes Limache,true,GS-F2-cl-deportes-limache-2026-04-24,2026-04-24,local-league,Liga de Primera · F11,Audax Italiano,Deportes Limache,2,2,false,1,1,1.0,0.0,-1.25,-0.25,"base=1(emp) 1A=-0,25 1R=-1 total=-0,25",,
loaded,GS-F2,H,cl-deportes-limache,Deportes Limache,true,GS-F2-cl-deportes-limache-2026-05-04,2026-05-04,local-cup,Copa de La Liga · F4,Deportes Limache,O'Higgins,1,1,true,2,0,1.0,0.0,-0.5,0.5,"base=1(emp) 2A=-0,5 total=0,5",,
loaded,GS-F3,A,cl-colo-colo,Colo-Colo,true,GS-F3-cl-colo-colo-2026-05-09,2026-05-09,local-cup,Copa de La Liga · F5,Colo-Colo,Deportes Concepción,3,1,true,1,0,3,1,-0.25,3.75,"base=3(vic) marg+1 1A=-0,25 total=3,75",,
loaded,GS-F3,A,cl-colo-colo,Colo-Colo,true,GS-F3-cl-colo-colo-2026-05-17,2026-05-17,local-cup,Copa de La Liga · F5,Coquimbo Unido,Colo-Colo,0,1,false,1,0,0,0,-0.25,-0.25,"base=0(der) 1A=-0,25 total=-0,25",,
loaded,GS-F3,A,co-atletico-nacional,Atlético Nacional,true,GS-F3-co-atletico-nacional-2026-05-16,2026-05-09,local-league,Liga BetPlay · Semifinal ida,Inter de Bogotá,Atlético Nacional,2,1,false,2,0,3,0,-0.5,2.5,"base=3(vic) 2A=-0,5 total=2,5",https://www.flashscore.com/match/football/atl-nacional-C23omttL/deportes-tolima-bLphhbYf/?mid=SjTaxX9l,
loaded,GS-F3,A,co-atletico-nacional,Atlético Nacional,true,GS-F3-co-atletico-nacional-2026-05-23,2026-05-23,local-league,Liga DIMAYOR Apertura,Atlético Nacional,Inter de Bogotá,7,1,true,0,0,3,5,0,8,base=3(vic) marg+5 total=8,"https://www.sofascore.com/es/football/match/deportes-tolima-atletico-nacional/gxcslxc#id:16183791,tab:statistics",
loaded,GS-F3,A,pe-alianza-lima,Alianza Lima,true,GS-F3-pe-alianza-lima-2026-05-09,2026-05-09,local-league,Liga 1 · F14,Alianza Lima,Sporting Cristal,1,1,true,2,0,1,0,-0.5,0.5,"base=1(emp) 2A=-0,5 total=0,5",,
loaded,GS-F3,A,pe-alianza-lima,Alianza Lima,true,GS-F3-pe-alianza-lima-2026-05-16,2026-05-16,local-league,Liga 1 · F15,Cienciano,Alianza Lima,1,0,false,3,0,3,1,-0.75,3.25,"base=3(vic) CS=1 3A=-0,75 total=3,25",,
loaded,GS-F3,A,bo-the-strongest,The Strongest,true,GS-F3-bo-the-strongest-2026-05-10,2026-05-03,local-league,Liga Profesional · F5,The Strongest,ABB,3,1,true,1,0,3,1,-0.25,3.75,"base=3(vic) marg+1 1A=-0,25 total=3,75",,
